08/01/2021,"-5.50","BAKERS DELIGHT           LANE COVE   NSW TAP AND PAY 8894",""
08/01/2021,"-14.90","GYG Lane Cove            Lane Cove   NSW TAP AND PAY 8894",""
07/01/2021,"-1.00","PAYPAL *PayPal Giving    4029357733  AUS TAP AND PAY 7006",""
07/01/2021,"-155.88","PAYPAL *AGLENERGYLI      4029357733  AUS TAP AND PAY 7006",""
06/01/2021,"-1.00","PAYPAL *PayPal Giving    4029357733  AUS TAP AND PAY 7006",""
06/01/2021,"-99.90","PAYPAL *COUNTRYROAD      4029357733  AUS TAP AND PAY 7006",""
06/01/2021,"-71.00","PAYPAL *TEATOOPTYLT      4029357733  AUS TAP AND PAY 7006",""
05/01/2021,"-112.22","COMMONWEALTH INSURANCE   SYDNEY OLYMP",""
04/01/2021,"+2397.42","PAYMENT RECEIVED, THANK YOU",""
02/01/2021,"-62.00","ERNEST HILL WINES        NULKABA     NSW",""
02/01/2021,"-127.50","TYRRELLS VINEYARDS P     POKOLBIN    NSW",""
02/01/2021,"-7.50","SQ *HUNTER VALLEY COFF   Pokolbin    AUS",""
31/12/2020,"-13.20","BAKERS DELIGHT           LANE COVE   NSW",""
30/12/2020,"-11.40","BAKERS DELIGHT           LANE COVE   NSW",""
30/12/2020,"-4.20","COZY COVE                LANE COVE   AUS",""
29/12/2020,"-9.80","PAYPAL *TWINKL LTD       4029357733  AUS",""
24/12/2020,"-49.34","KELLYVILLE EGGS          KELLYVILLE  NSW",""
24/12/2020,"-24.00","L V MEAT MASTERS         LANE COVE",""
24/12/2020,"-106.40","L V MEAT MASTERS         LANE COVE",""
23/12/2020,"-31.00","POTTERY GREEN BAKERS     LANE COVE   NSW",""
22/12/2020,"-12.98","PLINE PH LANE COVE       LANE COVE",""
22/12/2020,"-9.50","GM WORLD PTY LTD   QPS   LANE COVE",""
21/12/2020,"-81.09","7-ELEVEN 2219            EPPING      NSW",""
19/12/2020,"-16.00","CHOICE PHARMACY NORTH    KELLYVILLE",""
18/12/2020,"-162.08","TK MAXX CASTLE HILL      CASTLE HILL",""
18/12/2020,"-119.90","SEED 130                 CASTLE HILL NSW",""
18/12/2020,"-67.60","KELLYVILLE EGGS          KELLYVILLE  NSW",""
18/12/2020,"-71.96","WITCHERY                 CASTLE HILL",""
18/12/2020,"-129.00","DAVID JONES LIMITED      CASTLE HILL",""
17/12/2020,"-10.49","BED BATH N TABLE         NORTH RYDE  NSW",""
17/12/2020,"-7.65","D-CHOICE PTY LTD         MACQUARIE PA",""
16/12/2020,"-67.99","PAYPAL *UBEREATS AU      4029357733  AUS TAP AND PAY 7006",""
16/12/2020,"-21.70","GYG Lane Cove            Lane Cove   NSW",""
